id,endpoint_a,endpoint_a_ipv4,endpoint_a_ipv6,endpoint_b,endpoint_b_ipv4,endpoint_b_ipv6,type
IAS020,PE6:Gi0-0-0-1,10.240.0.38/31,2001:db8:2400:14::/127,P8:Gi0-0-0-1,10.240.0.39/31,2001:db8:2400:14::1/127,internal
IAS021,PE8:Gi0-0-0-0,10.240.0.40/31,2001:db8:2400:15::/127,P6:Gi0-0-0-2,10.240.0.41/31,2001:db8:2400:15::1/127,internal
IAS022,PE8:Gi0-0-0-1,10.240.0.42/31,2001:db8:2400:16::/127,P8:Gi0-0-0-2,10.240.0.43/31,2001:db8:2400:16::1/127,internal
IAS023,RR65200:Gi0-0-0-0,10.240.0.44/31,2001:db8:2400:17::/127,P6:Gi0-0-0-3,10.240.0.45/31,2001:db8:2400:17::1/127,internal
IAS024,RR65200:Gi0-0-0-1,10.240.0.46/31,2001:db8:2400:18::/127,P8:Gi0-0-0-3,10.240.0.47/31,2001:db8:2400:18::1/127,internal
IAS025,P3:Gi0-0-0-4,10.240.0.48/31,2001:db8:2400:19::/127,P5:Gi0-0-0-4,10.240.0.49/31,2001:db8:2400:19::1/127,external
IAS026,P4:Gi0-0-0-4,10.240.0.50/31,2001:db8:2400:1a::/127,P7:Gi0-0-0-4,10.240.0.51/31,2001:db8:2400:1a::1/127,external
IAS027,P3:Gi0-0-0-5,10.240.0.52/31,2001:db8:2400:1b::/127,P6:Gi0-0-0-4,10.240.0.53/31,2001:db8:2400:1b::1/127,external
IAS028,P4:Gi0-0-0-5,10.240.0.54/31,2001:db8:2400:1c::/127,P8:Gi0-0-0-4,10.240.0.55/31,2001:db8:2400:1c::1/127,external
IAS029,P7:Gi0-0-0-5,10.240.0.56/31,2001:db8:2400:1d::/127,P8:Gi0-0-0-5,10.240.0.57/31,2001:db8:2400:1d::1/127,external
IAS030,PE1:Gi0-0-0-1,10.240.0.58/31,2001:db8:2400:1e::/127,CE-A:Ethernet0/1,10.240.0.59/31,2001:db8:2400:1e::1/127,customer
IAS031,PE5:Gi0-0-0-2,10.240.0.60/31,2001:db8:2400:1f::/127,CE-A:Ethernet0/2,10.240.0.61/31,2001:db8:2400:1f::1/127,customer
IAS032,PE2:Gi0-0-0-1,10.240.0.62/31,2001:db8:2400:20::/127,CE-B:Ethernet0/1,10.240.0.63/31,2001:db8:2400:20::1/127,customer
IAS033,PE6:Gi0-0-0-2,10.240.0.64/31,2001:db8:2400:21::/127,CE-B:Ethernet0/2,10.240.0.65/31,2001:db8:2400:21::1/127,customer
IAS034,PE7:Gi0-0-0-2,10.240.0.66/31,2001:db8:2400:22::/127,CE-C:Ethernet0/1,10.240.0.67/31,2001:db8:2400:22::1/127,customer
IAS035,PE8:Gi0-0-0-2,10.240.0.68/31,2001:db8:2400:23::/127,CE-C:Ethernet0/2,10.240.0.69/31,2001:db8:2400:23::1/127,customer
