id,endpoint_a,endpoint_a_ipv4,endpoint_a_ipv6,endpoint_b,endpoint_b_ipv4,endpoint_b_ipv6,group,igp_metric,srlg
L022,RR1:Gi0-0-0-0,10.255.0.42/31,2001:db8:1000:122::/127,P3:Gi0-0-0-6,10.255.0.43/31,2001:db8:1000:122::1/127,rr-core,10,301
L023,RR1:Gi0-0-0-1,10.255.0.44/31,2001:db8:1000:123::/127,P5:Gi0-0-0-4,10.255.0.45/31,2001:db8:1000:123::1/127,rr-core,10,302
L024,RR2:Gi0-0-0-0,10.255.0.46/31,2001:db8:1000:124::/127,P4:Gi0-0-0-6,10.255.0.47/31,2001:db8:1000:124::1/127,rr-core,10,303
L025,RR2:Gi0-0-0-1,10.255.0.48/31,2001:db8:1000:125::/127,P6:Gi0-0-0-4,10.255.0.49/31,2001:db8:1000:125::1/127,rr-core,10,304
L026,PE1:Gi0-0-0-2,10.255.0.50/31,2001:db8:0:1a::/127,CE1:Ethernet0/1,10.255.0.51/31,2001:db8:0:1a::1/127,customer,10,401
L027,PE1:Gi0-0-0-3,10.255.0.52/31,2001:db8:0:1b::/127,CE2:Ethernet0/1,10.255.0.53/31,2001:db8:0:1b::1/127,customer-dual,10,402
L028,PE2:Gi0-0-0-2,10.255.0.54/31,2001:db8:0:1c::/127,CE2:Ethernet0/2,10.255.0.55/31,2001:db8:0:1c::1/127,customer-dual,10,403
L029,PE2:Gi0-0-0-3,10.255.0.56/31,2001:db8:0:1d::/127,CE3:Ethernet0/1,10.255.0.57/31,2001:db8:0:1d::1/127,customer,10,404
L030,PE3:Gi0-0-0-2,10.255.0.58/31,2001:db8:0:1e::/127,CE4:Ethernet0/1,10.255.0.59/31,2001:db8:0:1e::1/127,customer,10,405
L031,PE3:Gi0-0-0-3,10.255.0.60/31,2001:db8:0:1f::/127,CE5:Ethernet0/1,10.255.0.61/31,2001:db8:0:1f::1/127,customer-dual,10,406
L032,PE4:Gi0-0-0-2,10.255.0.62/31,2001:db8:0:20::/127,CE5:Ethernet0/2,10.255.0.63/31,2001:db8:0:20::1/127,customer-dual,10,407
L033,PE4:Gi0-0-0-3,10.255.0.64/31,2001:db8:0:21::/127,CE6:Ethernet0/1,10.255.0.65/31,2001:db8:0:21::1/127,customer,10,408
L034,PE5:Gi0-0-0-2,10.255.0.66/31,2001:db8:0:22::/127,CE7:Ethernet0/1,10.255.0.67/31,2001:db8:0:22::1/127,customer,10,409
L035,PE5:Gi0-0-0-3,10.255.0.68/31,2001:db8:0:23::/127,CE8:Ethernet0/1,10.255.0.69/31,2001:db8:0:23::1/127,customer-dual,10,410
L036,PE6:Gi0-0-0-2,10.255.0.70/31,2001:db8:0:24::/127,CE8:Ethernet0/2,10.255.0.71/31,2001:db8:0:24::1/127,customer-dual,10,411
L037,PE6:Gi0-0-0-3,10.255.0.72/31,2001:db8:0:25::/127,CE9:Ethernet0/1,10.255.0.73/31,2001:db8:0:25::1/127,customer,10,412
L038,CE1:Ethernet0/2,10.255.0.74/31,2001:db8:0:26::/127,C1:Ethernet0/1,10.255.0.75/31,2001:db8:0:26::1/127,client,10,501
L039,CE9:Ethernet0/2,10.255.0.76/31,2001:db8:0:27::/127,C2:Ethernet0/1,10.255.0.77/31,2001:db8:0:27::1/127,client,10,502
L040,P5:Gi0-0-0-5,10.255.0.78/31,2001:db8:1000:140::/127,P7:Gi0-0-0-0,10.255.0.79/31,2001:db8:1000:140::1/127,core-plane-a,10,103
L041,P6:Gi0-0-0-5,10.255.0.80/31,2001:db8:1000:141::/127,P8:Gi0-0-0-0,10.255.0.81/31,2001:db8:1000:141::1/127,core-plane-b,10,104
L042,P7:Gi0-0-0-1,10.255.0.82/31,2001:db8:1000:142::/127,P8:Gi0-0-0-1,10.255.0.83/31,2001:db8:1000:142::1/127,core-rung,20,160
L043,P6:Gi0-0-0-6,10.255.0.84/31,2001:db8:1000:143::/127,P7:Gi0-0-0-2,10.255.0.85/31,2001:db8:1000:143::1/127,core-diagonal,30,170
L044,PE7:Gi0-0-0-0,10.255.0.86/31,2001:db8:1000:144::/127,P5:Gi0-0-0-6,10.255.0.87/31,2001:db8:1000:144::1/127,pe-core,10,213
L045,PE7:Gi0-0-0-1,10.255.0.88/31,2001:db8:1000:145::/127,P7:Gi0-0-0-3,10.255.0.89/31,2001:db8:1000:145::1/127,pe-core,10,214
L046,PE8:Gi0-0-0-0,10.255.0.90/31,2001:db8:1000:146::/127,P6:Gi0-0-0-7,10.255.0.91/31,2001:db8:1000:146::1/127,pe-core,10,215
L047,PE8:Gi0-0-0-1,10.255.0.92/31,2001:db8:1000:147::/127,P8:Gi0-0-0-3,10.255.0.93/31,2001:db8:1000:147::1/127,pe-core,10,216
L048,P1:Gi0-0-0-5,10.255.0.94/31,2001:db8:1000:148::/127,ASBR-ISP2:Gi0-0-0-0,10.255.0.95/31,2001:db8:1000:148::1/127,inter-as,10,650
L049,ASBR-ISP2:Gi0-0-0-1,10.255.0.96/31,2001:db8:1000:149::/127,ISP2-P1:Ethernet0/1,10.255.0.97/31,2001:db8:1000:149::1/127,isp2-core,10,651
L050,ASBR-ISP2:Gi0-0-0-2,10.255.0.98/31,2001:db8:1000:150::/127,ISP2-P2:Ethernet0/1,10.255.0.99/31,2001:db8:1000:150::1/127,isp2-core,10,652
L051,ISP2-P1:Ethernet0/2,10.255.0.100/31,2001:db8:1000:151::/127,ISP2-P3:Ethernet0/1,10.255.0.101/31,2001:db8:1000:151::1/127,isp2-core,10,653
L052,ISP2-P2:Ethernet0/2,10.255.0.102/31,2001:db8:1000:152::/127,ISP2-P5:Ethernet0/1,10.255.0.103/31,2001:db8:1000:152::1/127,isp2-core,10,654
L053,ISP2-P3:Ethernet0/2,10.255.0.104/31,2001:db8:1000:153::/127,ISP2-P4:Ethernet0/1,10.255.0.105/31,2001:db8:1000:153::1/127,isp2-core,10,655
L054,ISP2-P4:Ethernet0/2,10.255.0.106/31,2001:db8:1000:154::/127,ISP2-P5:Ethernet0/2,10.255.0.107/31,2001:db8:1000:154::1/127,isp2-core,10,656
L055,ISP2-P3:Ethernet0/3,10.255.0.108/31,2001:db8:1000:155::/127,RR-ISP2:Gi0-0-0-0,10.255.0.109/31,2001:db8:1000:155::1/127,isp2-rr,10,657
L056,ISP2-P4:Ethernet0/3,10.255.0.110/31,2001:db8:1000:156::/127,RR-ISP2:Gi0-0-0-1,10.255.0.111/31,2001:db8:1000:156::1/127,isp2-rr,10,658
L057,ISP2-P5:Ethernet0/3,10.255.0.112/31,2001:db8:1000:157::/127,SOURCE1:eth1,10.255.0.113/31,2001:db8:1000:157::1/127,source-access,10,659
